name,rating,date,text
Letkol Susilo Widodo,5,1 hari lalu,"Banyak kapal nelayan, lumayan ramai pengunjung, angin berhembus sepoi-sepoi."
Letkol Susilo Widodo,5,1 hari lalu,"Banyak kapal nelayan, lumayan ramai pengunjung, angin berhembus sepoi-sepoi."
Neng Mutmainnah,5,2 hari lalu,"""Ibuku berkata, jangan terlalu sombong ketika kamu punya (kekayaan), jangan berkecil hati ketika kamu punya masalah. Ingat, Nak, kamu bisa naik tetapi jangan mencapai langit (sombong), kamu bisa rendah hati tetapi jangan biarkan orang lain menghina kita."""
Neng Mutmainnah,5,2 hari lalu,"""Ibuku berkata, jangan terlalu sombong ketika kamu punya (kekayaan), jangan berkecil hati ketika kamu punya masalah. Ingat, Nak, kamu bisa naik tetapi jangan mencapai langit (sombong), kamu bisa rendah hati tetapi jangan biarkan orang lain menghina kita."""
muchlis machmudi,5,seminggu lalu,
muchlis machmudi,5,seminggu lalu,
Inveil Hijab,5,2 minggu lalu,Matahari terbenam yang indah
Inveil Hijab,5,2 minggu lalu,Matahari terbenam yang indah
Alma ida,4,2 minggu lalu,Sangat bagus
Alma ida,4,2 minggu lalu,Sangat bagus
Lupi1234da Ramat zaka,4,2 minggu lalu,Bagus
Lupi1234da Ramat zaka,4,2 minggu lalu,Bagus
Armiroko,5,2 minggu lalu,"View keren, hanya perlu diperhatikan kebersihan pantai nya 👍 …"
Armiroko,5,2 minggu lalu,"View keren, hanya perlu diperhatikan kebersihan pantai nya 👍 …"
supri kae,5,2 minggu lalu,Oke
supri kae,5,2 minggu lalu,Oke
Wildanmirzaki Kriting,5,sebulan lalu,"Pantai Mutun memang cukup ramai, apalagi di siang hari 🌊. Walaupun hari ini sempat hujan dan mendung, suasananya tetap enak untuk santai. Anginnya sejuk, ombaknya tenang, dan pemandangan lautnya masih bisa dinikmati 😌
Banyak perahu di pinggir pantai dan tersedia kursi untuk duduk-duduk. Cocok buat main air ringan atau sekadar menikmati suasana pantai. Tinggal jaga kebersihan supaya pantainya tetap nyaman 👍"
Wildanmirzaki Kriting,5,sebulan lalu,"Pantai Mutun memang cukup ramai, apalagi di siang hari 🌊. Walaupun hari ini sempat hujan dan mendung, suasananya tetap enak untuk santai. Anginnya sejuk, ombaknya tenang, dan pemandangan lautnya masih bisa dinikmati 😌
Banyak perahu di pinggir pantai dan tersedia kursi untuk duduk-duduk. Cocok buat main air ringan atau sekadar menikmati suasana pantai. Tinggal jaga kebersihan supaya pantainya tetap nyaman 👍"
Omar Arif,4,sebulan lalu,Pantai yang indah di daerah Lampung...
Omar Arif,4,sebulan lalu,Pantai yang indah di daerah Lampung...
Tiaaa_ay,5,sebulan lalu,"Pantainya lumayan bagus, namun banyak kapal yang bersandar."
Tiaaa_ay,5,sebulan lalu,"Pantainya lumayan bagus, namun banyak kapal yang bersandar."
Titin Aprily fatima,5,sebulan lalu,Bersih... Fasilitas lengkap
Titin Aprily fatima,5,sebulan lalu,Bersih... Fasilitas lengkap
Aza Lia,5,sebulan lalu,
Aza Lia,5,sebulan lalu,
Adinda Khairunnisa,5,sebulan lalu,"Kesini pas banget angin lagi kenceng, jadi sulit untuk foto2 karena bajunya terbang🤣 …"
Adinda Khairunnisa,5,sebulan lalu,"Kesini pas banget angin lagi kenceng, jadi sulit untuk foto2 karena bajunya terbang🤣 …"
Zero's Business,1,sebulan lalu,"Harga tiket masuk ga konsisten, suka suka yang jaga loket tiket👎🏻 …"
Zero's Business,1,sebulan lalu,"Harga tiket masuk ga konsisten, suka suka yang jaga loket tiket👎🏻 …"
Tegar,3,sebulan lalu,"Tiket mahal, di dalem ada tukang parkir lg"
Tegar,3,sebulan lalu,"Tiket mahal, di dalem ada tukang parkir lg"
Eko Zulpiansyah,5,sebulan lalu,
Eko Zulpiansyah,5,sebulan lalu,
Achmad Harir,5,sebulan lalu,"Pantai asiklah buat main air, anak2 juga aman. Walaupun rada kotor tapi worth lah buat pantai gratisan.
Bisa nyewa saung sama ban biar lebih enak mau main air atau nunggu aja"
Achmad Harir,5,sebulan lalu,"Pantai asiklah buat main air, anak2 juga aman. Walaupun rada kotor tapi worth lah buat pantai gratisan.
Bisa nyewa saung sama ban biar lebih enak mau main air atau nunggu aja"
Peni Purwati,4,sebulan lalu,"Viewnya bagus sebenarnya tapi tempatnya kotor. Kesana minggu kemarin.. terlebih kamar mandinya sangat bau dan tidak mengalir menggenang di pintu masuk.
Keponakan saya terpeleset saat ke kamar mandi menggendong anaknya.
Semoga lebih ditingkatkan lagi kebersihannya."
Peni Purwati,4,sebulan lalu,"Viewnya bagus sebenarnya tapi tempatnya kotor. Kesana minggu kemarin.. terlebih kamar mandinya sangat bau dan tidak mengalir menggenang di pintu masuk.
Keponakan saya terpeleset saat ke kamar mandi menggendong anaknya.
Semoga lebih ditingkatkan lagi kebersihannya."
Ali Hamzah,4,sebulan lalu,"Salah satu wisata bahari yang ada di provinsi lampung, tepatnya ada di kabupaten pesarawan, dengan pasir yang cukup bersih dan fasilitas juga cukup lengkap, mulai toilet, mushola dan banyak penjual makanan. Pantainya juga dilengkapi dengan dermaga, dan kita bisa menyewa perahu untuk mengelilingi pantai. Mungkin yang jadi catatan, jalan masuk ke pantai setelah jalan raya masih banyak yang rusak dan kalau malam minim penerangan."
Ali Hamzah,4,sebulan lalu,"Salah satu wisata bahari yang ada di provinsi lampung, tepatnya ada di kabupaten pesarawan, dengan pasir yang cukup bersih dan fasilitas juga cukup lengkap, mulai toilet, mushola dan banyak penjual makanan. Pantainya juga dilengkapi dengan dermaga, dan kita bisa menyewa perahu untuk mengelilingi pantai. Mungkin yang jadi catatan, jalan masuk ke pantai setelah jalan raya masih banyak yang rusak dan kalau malam minim penerangan."
Kadul Mutun,5,sebulan lalu,
Kadul Mutun,5,sebulan lalu,
Richard Paulus Situmorang,1,2 bulan lalu,"Masuk 35k per org, parkir 10k, saung 150k, nyebrang 200k, banana boat 30k per org, bilas bayar lagi. Intinya rupiah, rupiah dan rupiah 😌 …"
Richard Paulus Situmorang,1,2 bulan lalu,"Masuk 35k per org, parkir 10k, saung 150k, nyebrang 200k, banana boat 30k per org, bilas bayar lagi. Intinya rupiah, rupiah dan rupiah 😌 …"
yasmika putri,1,2 bulan lalu,"Panas, banyak karang dan sampah. Pempers bayi pun ada, kok aneh banget ya"
