name,rating,date,text,text_clean,text_final,sentimen
Inveil Hijab,5,2 minggu lalu,Matahari terbenam yang indah,matahari terbenam indah,matahari benam indah,netral
Alma ida,4,3 minggu lalu,Sangat bagus,sangat bagus,sangat bagus,positif
Lupi1234da Ramat zaka,4,3 minggu lalu,Bagus,bagus,bagus,positif
supri kae,5,3 minggu lalu,Oke,oke,oke,netral
Wildanmirzaki Kriting,5,sebulan lalu,"Pantai Mutun memang cukup ramai, apalagi di siang hari 🌊. Walaupun hari ini sempat hujan dan mendung, suasananya tetap enak untuk santai. Anginnya sejuk, ombaknya tenang, dan pemandangan lautnya masih bisa dinikmati 😌
Banyak perahu di pinggir pantai dan tersedia kursi untuk duduk-duduk. Cocok buat main air ringan atau sekadar menikmati suasana pantai. Tinggal jaga kebersihan supaya pantainya tetap nyaman 👍",pantai mutun memang cukup ramai siang hari walaupun hari sempat hujan mendung suasananya tetap enak santai anginnya sejuk ombaknya tenang pemandangan lautnya dinikmati banyak perahu pinggir pantai tersedia kursi dudukduduk cocok buat main air ringan sekadar menikmati suasana pantai tinggal jaga kebersihan pantainya tetap nyaman,pantai mutun memang cukup ramai siang hari walaupun hari sempat hujan mendung suasana tetap enak santai angin sejuk ombak tenang pandang laut nikmat banyak perahu pinggir pantai sedia kursi dudukduduk cocok buat main air ringan sekadar nikmat suasana pantai tinggal jaga bersih pantai tetap nyaman,positif
Omar Arif,4,sebulan lalu,Pantai yang indah di daerah Lampung...,pantai indah daerah lampung,pantai indah daerah lampung,netral
Tiaaa_ay,5,sebulan lalu,"Pantainya lumayan bagus, namun banyak kapal yang bersandar.",pantainya lumayan bagus banyak kapal bersandar,pantai lumayan bagus banyak kapal sandar,positif
Titin Aprily fatima,5,sebulan lalu,Bersih... Fasilitas lengkap,bersih fasilitas lengkap,bersih fasilitas lengkap,positif
Adinda Khairunnisa,5,sebulan lalu,"Kesini pas banget angin lagi kenceng, jadi sulit untuk foto2 karena bajunya terbang🤣 …",kesini pas banget angin kenceng jadi sulit foto bajunya terbang,kesini pas banget angin kenceng jadi sulit foto baju terbang,negatif
Zero's Business,1,sebulan lalu,"Harga tiket masuk ga konsisten, suka suka yang jaga loket tiket👎🏻 …",harga tiket masuk tidak konsisten suka suka jaga loket tiket,harga tiket masuk tidak konsisten suka suka jaga loket tiket,negatif
Tegar,3,sebulan lalu,"Tiket mahal, di dalem ada tukang parkir lg",tiket mahal dalem tukang parkir lg,tiket mahal dalem tukang parkir lg,negatif
Achmad Harir,5,sebulan lalu,"Pantai asiklah buat main air, anak2 juga aman. Walaupun rada kotor tapi worth lah buat pantai gratisan.
Bisa nyewa saung sama ban biar lebih enak mau main air atau nunggu aja",pantai asiklah buat main air anak aman walaupun rada kotor worth buat pantai gratisan nyewa saung sama ban biar lebih enak mau main air nunggu,pantai asiklah buat main air anak aman walaupun rada kotor worth buat pantai gratis nyewa saung sama ban biar lebih enak mau main air nunggu,netral
Peni Purwati,4,sebulan lalu,"Viewnya bagus sebenarnya tapi tempatnya kotor. Kesana minggu kemarin.. terlebih kamar mandinya sangat bau dan tidak mengalir menggenang di pintu masuk.
Keponakan saya terpeleset saat ke kamar mandi menggendong anaknya.
Semoga lebih ditingkatkan lagi kebersihannya.",viewnya bagus sebenarnya tempatnya kotor kesana minggu kemarin terlebih kamar mandinya sangat bau tidak mengalir menggenang pintu masuk keponakan terpeleset kamar mandi menggendong anaknya semoga lebih ditingkatkan kebersihannya,viewnya bagus benar tempat kotor kesana minggu kemarin lebih kamar mandi sangat bau tidak alir genang pintu masuk keponakan peleset kamar mandi gendong anak moga lebih tingkat bersih,netral
Ali Hamzah,4,2 bulan lalu,"Salah satu wisata bahari yang ada di provinsi lampung, tepatnya ada di kabupaten pesarawan, dengan pasir yang cukup bersih dan fasilitas juga cukup lengkap, mulai toilet, mushola dan banyak penjual makanan. Pantainya juga dilengkapi dengan dermaga, dan kita bisa menyewa perahu untuk mengelilingi pantai. Mungkin yang jadi catatan, jalan masuk ke pantai setelah jalan raya masih banyak yang rusak dan kalau malam minim penerangan.",salah satu wisata bahari provinsi lampung tepatnya kabupaten pesarawan pasir cukup bersih fasilitas cukup lengkap mulai toilet mushola banyak penjual makanan pantainya dilengkapi dermaga menyewa perahu mengelilingi pantai mungkin jadi catatan jalan masuk pantai jalan raya banyak rusak kalau malam minim penerangan,salah satu wisata bahari provinsi lampung tepat kabupaten pesarawan pasir cukup bersih fasilitas cukup lengkap mulai toilet mushola banyak jual makan pantai lengkap dermaga sewa perahu keliling pantai mungkin jadi catat jalan masuk pantai jalan raya banyak rusak kalau malam minim terang,positif
yasmika putri,1,2 bulan lalu,"Panas, banyak karang dan sampah. Pempers bayi pun ada, kok aneh banget ya",panas banyak karang sampah pempers bayi aneh banget,panas banyak karang sampah pempers bayi aneh banget,netral
Supri Yono,5,2 bulan lalu,Tempat nya sangat bagus cocok untuk sekeluarga,tempat sangat bagus cocok sekeluarga,tempat sangat bagus cocok keluarga,positif
Riyan Thama,5,2 bulan lalu,"Pantai nya keren ada hotel bintang 5 deket Pantai
Semoga bisa menjadi destinasi wisata internasional",pantai keren hotel bintang deket pantai semoga menjadi destinasi wisata internasional,pantai keren hotel bintang deket pantai moga jadi destinasi wisata internasional,positif
Sunni Purnomo,1,2 bulan lalu,Jelek tidak direkomendasikan,jelek tidak direkomendasikan,jelek tidak rekomendasi,negatif
Mama Kencana Kencini,4,2 bulan lalu,"Buat yg minimalis masalah keuangan tetep butuh air yang asin asin, bisa dikondisikan untuk pilih mutun yang belok ke yg kiri, recommended buat kaum mendang mending",buat minimalis masalah keuangan tetep butuh air asin asin dikondisikan pilih mutun belok kiri recommended buat kaum mendang mending,buat minimal masalah uang tetep butuh air asin asin kondisi pilih mutun belok kiri recommended buat kaum dang mending,positif
oktavia dewi,4,2 bulan lalu,Update terbaru pantai mutun 18.12.2025 bersih ada dermaga saksi bisu dan cocok untuk anak-anak main air karna ombaknya gak besar tapi minusnya kamar mandi airnya nyalanya kecil bgtt,update terbaru pantai mutun bersih dermaga saksi bisu cocok anakanak main air karna ombaknya tidak besar minusnya kamar mandi airnya nyalanya kecil bgtt,update baru pantai mutun bersih dermaga saksi bisu cocok anakanak main air karna ombak tidak besar minus kamar mandi air nyala kecil bgtt,netral
Haryadi Atlas,5,2 bulan lalu,Pantai mutun bandar lampung top 👍 …,pantai mutun bandar lampung top,pantai mutun bandar lampung top,positif
Abdul Latif SR,3,2 bulan lalu,Ke mutun 2 harus bayar juga di gerbang mutun 1,mutun bayar gerbang mutun,mutun bayar gerbang mutun,netral
Luthfi Riadina,2,2 bulan lalu,Mahal. Dikit2 bayar,mahal dikit bayar,mahal dikit bayar,negatif
Siti Aisyah,5,3 bulan lalu,"Pantai nya bagus,tempat wisata dan para angler para pemancing bnyak seru,!!!",pantai bagustempat wisata angler pemancing bnyak seru,pantai bagustempat wisata angler pancing bnyak seru,netral
arrakasta 1410,4,3 bulan lalu,salah satu tempat wisata bagus di Lampung,salah satu tempat wisata bagus lampung,salah satu tempat wisata bagus lampung,positif
Sutariyah,5,3 bulan lalu,pantainya enak untuk berenang anak2 serta lansia,pantainya enak berenang anak lansia,pantai enak renang anak lansia,positif
Pinkan Salsabila,4,Diedit 3 bulan lalu,"Baguss,bersihh",bagussbersihh,bagussbersihh,netral
Pieces the sun,5,3 bulan lalu,"- Viewnyaaa mayan bagusssslah🦦🦦
- Pasirnya enak
- Senja ketutupan bukit🙁 but still pretty🤩
-masuknya sekitar 30k? lupa🙂‍↕️
- kamar mandinya agak serem yh
- Sekitar 30 menit dari Balam
- akses ke sana udah aspal semuaa, dan juga beberapa ada nanjak yhh
- minus banyak kapal gais
- buat berenang oke si karena ombaknya santuy🌊🌊",viewnyaaa mayan bagusssslah pasirnya enak senja ketutupan bukit but still pretty masuknya k lupa kamar mandinya serem yh menit balam akses sana udah aspal semuaa beberapa nanjak yhh minus banyak kapal gais buat berenang oke si ombaknya santuy,viewnyaaa mayan bagusssslah pasir enak senja tutup bukit but still pretty masuk k lupa kamar mandi rem yh menit balam akses sana udah aspal semuaa beberapa nanjak yhh minus banyak kapal gais buat renang oke si ombak santuy,positif
Supras Setiawan,5,4 bulan lalu,Mantap..,mantap,mantap,positif
Ade Ria Septa utami,5,4 bulan lalu,"Pantai yang indah, jadi kangen lampung",pantai indah jadi kangen lampung,pantai indah jadi kangen lampung,netral
Inu Stiyevo,4,4 bulan lalu,Bersih. Lautnya berair jernih. Anak kecil bisa berenang.,bersih lautnya berair jernih anak kecil berenang,bersih laut air jernih anak kecil renang,positif
Agusman Rahmadi,5,5 bulan lalu,"Bersih, nyaman",bersih nyaman,bersih nyaman,positif
